,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
400,PPG,"$245,700","$245,700",0-1-0-2,1,Hong Kong(06/01/2024),21/09/2023,C H Yip,Lok Yuet Kwan,53,52,American Pharoah,Hermosa Beach,Magnus,E GLORY GOOD VIEW GLORY SWORD POINT,2023_J155,AUS,3,Bay,Gelding,
401,PPG,"$589,800","$1,270,200",1-1-1-8,0,Hong Kong(06/04/2024),26/01/2023,P C Ng,Chan Shiu Shan,57,58,War Decree,Miss Foxy Gal,Foxwedge,ARMOUR WAR EAGLE CARRYON SMILING FIGHTING MACHINE INNOTECH STAR JUDY'S GREAT,2022_H328,NZ,4,Brown,Gelding,
402,PPG,"$288,750","$288,750",0-1-0-14,2,Conghua(03/04/2024),13/08/2022,P C Ng,Tom Brown's Syndicate,24,48,U S Navy Flag,Greatest Place,Shamardal,J396 J446 CURRAHEE GET SET WIN LAKESHORE HERO MATSU VICTOR RACINGRACE SUPER CHARIZZARD U S S CONSTITUTION,2022_H119,IRE,4,Bay,Gelding,
403,PP,"$1,860,200","$5,965,200",2-5-1-13,2,Hong Kong(06/01/2024),09/08/2022,T P Yung,Alan Kiang Ping Fai & Joyce Lee,86,82,Snitzel,Nayeli,More Than Ready,COTTON FINGERS MARK THE MOMENT NEBRASKAN SUPER WISE DRAGON,2022_H089,AUS,4,Bay,Gelding,
404,PP,"$778,750","$1,158,100",1-0-3-29,2,Hong Kong(26/03/2024),15/03/2021,W Y So,Y Lot Syndicate,21,25,Gimmethegreenlight,Dance Domain,Parade Leader,Nil,2020_E409,SAF,7,Bay,Gelding,
405,PP,$0,$0,0-0-0-0,0,Hong Kong(08/01/2024),08/01/2024,J Richards,Edwin Cheung Hon Kit,70,70,Exceed And Excel,Kaniana,Canny Lad,J403 J415 ARIEL CIRCUIT ELEVEN CRYSTAL POWERFUL DEAL COMPLETED EXCEL WONGCHOY HANG'S CHOICE KING ECCELLENTE KING MILES MAGIC TRAVELLER ROMANTIC NOVELIST SAVVY DELIGHT SHINE BRIGHT SUPER AXIOM,2023_J303,AUS,3,Chestnut,Gelding,
406,PPG,$0,$0,0-0-0-0,0,Conghua(06/06/2023),20/02/2023,P C Ng,Happy United Front Syndicate,52,52,Darci Brahma,Lion Blanc,Reset,AMAZING TEENS BOURBONAIRE COSMO NAVIGATOR D STAR DARCI JOY FORTUNE RACER FOXHUNTER KING FURTHER FORWARD GOLDEN DARCI JOYFUL HUNTER KING INVINCIBLE SPEED DRAGON TO INFINITY,2022_H349,NZ,4,Bay,Gelding,
407,PPG,"$46,800","$46,800",0-0-0-4,1,Hong Kong(29/02/2024),17/07/2023,J Richards,Mr & Mrs Ken Hui Chi Kit,47,52,Outreach,Girls Got Rhythm,Lonhro,BEAT HOLLOW CARROLL STREET SPICY SO SMART TIMESTORM,2023_J029,AUS,3,Bay,Gelding,
408,PPG,"$204,750","$204,750",0-0-1-2,1,Hong Kong(10/10/2023),08/05/2023,W Y So,Michael Wong Ka Chun,52,52,Belardo,Triaction,Elusive City,KA YING SUPERB KEEN UNITY PHANTOM CYCLONE RED LION SEA AIR LEGEND SHANGHAI STYLE YEABOI,2022_H402,NZ,3,Bay,Gelding,
409,PP,"$1,446,150","$3,187,525",2-1-2-11,1,Hong Kong(14/03/2024),19/12/2022,K W Lui,Raymond Hui,80,76,Night Of Thunder,Thurayaat,Tamayuz,BEAUTY THUNDER STORM LEGEND,2022_H265,GB,6,Chestnut,Gelding,
410,PPG,$0,"$30,800",0-0-0-11,1,Hong Kong(28/09/2023),17/12/2022,W K Mo,Kevin Chan Wing Tak & Jackson Ip Chun Kit,23,46,Kessaar,Drumcliffe Dancer,Footstepsinthesand,Nil,2022_H261,IRE,4,Chestnut,Gelding,
411,PPG,"$195,600","$1,704,075",1-2-3-23,1,Conghua(08/03/2024),24/08/2020,T P Yung,"Shum Mak Ling, Ma Ren De, Jimmy Tang & Pin Yik Ping",32,45,Eurozone,Teralani,Danehill Dancer,TOGEPI,2020_E149,AUS,6,Bay,Gelding,
412,PPG,"$638,750","$1,088,300",1-2-2-24,2,Hong Kong(09/08/2023),19/12/2020,W Y So,Wong Yuet Sing & Tony Wong Sze Ho,22,25,Exceed And Excel,Tingleo,Galileo,J403 J415 ARIEL CIRCUIT ELEVEN CRYSTAL POWERFUL DEAL COMPLETED EXCEL WONGCHOY GUSTOSISIMO KING ECCELLENTE KING MILES MAGIC TRAVELLER ROMANTIC NOVELIST SAVVY DELIGHT SHINE BRIGHT SUPER AXIOM,2020_E311,IRE,6,Chestnut,Gelding,
413,ISG,"$529,375","$3,168,165",2-5-6-49,1,Conghua(22/03/2024),06/07/2019,W Y So,"Bill Mok Yuen Bill, Yip Wing Kui, John Yuen Se Kit & Raymond Choy Wai Shek",24,32,Requinto,Maraglen,Rock Of Gibraltar,Nil,2018_C533,IRE,8,Bay,Gelding,
414,PPG,$0,$0,0-0-0-0,0,Hong Kong(28/08/2023),28/08/2023,W K Mo,Excellent Ride Syndicate,52,52,Magnus,Siennas Fury,General Nediym,ALL FOR ST PAUL'S EIGHT TRIGRAMS HARMONY N BLESSED SIGHT SUCCESS,2023_J117,AUS,3,Bay,Gelding,
415,PP,$0,$0,0-0-0-6,2,Hong Kong(26/08/2023),26/08/2023,W K Mo,Hakka Syndicate,56,68,Massaat,Kalia Asha,Dark Angel,Nil,2023_J105,GB,4,Bay,Gelding,
416,PPG,"$152,550","$5,472,025",3-5-6-42,1,Hong Kong(05/10/2023),09/11/2020,C H Yip,So Kai Sing,53,68,Pins,Genius,Savabeel,MARADO NATURAL STORM PINS PRINCE ROMANTIC LAOS,2020_E294,NZ,6,Bay,Gelding,
417,PPG,"$538,200","$1,391,400",1-2-2-13,1,Conghua(29/03/2024),11/10/2022,J Richards,Terry Lai Chi Wai,50,56,Impending,Ilovewhatsebrings,Sebring,FOREVER CHARM SO TREASURE THE HEIR,2022_H181,AUS,4,Brown,Gelding,
418,PPG,"$1,312,700","$1,312,700",2-1-0-22,2,Hong Kong(17/05/2023),20/12/2021,M Newnham,"Chan Siu Cheung, Chan Fut Yan, Victor Fung Chiu Chak & Kuok Hoi Sang",32,24,Pierro,Forty Winks,Kheleyf,J410 MISTER ARM MISTER FOX PERFECT PAIRING WINNING STEPS,2021_G322,AUS,5,Brown,Gelding,
419,PPG,"$2,638,650","$4,866,950",6-3-1-29,1,Hong Kong(30/08/2021),30/08/2021,W K Mo,Admund Au Chi Hoe,66,57,Shalaa,Bound To Blush,Strategic,MULTIDARLING PHILOS SOLID SHALAA SUNNY DARLING UNIVERSAL HORIZON WHIZZ KID,2021_G166,AUS,5,Bay,Gelding,
